project_type,location,total_area_sqft,num_floors,num_workers,planned_duration_days,material_quality,complexity_level,has_basement,weather_risk_zone,contractor_experience_years,soil_type,water_table_level,distance_from_city_km,site_accessibility,floor_height_ft,foundation_type,num_bathrooms,electrical_load_kw,finishing_level,site_topography,actual_cost,actual_duration_days
commercial,Jaipur,29900,7,296,730,standard,medium,True,moderate,10,marshy,deep,30,difficult,14,pile,37,455,premium,gentle_slope,713676000.0,759
residential,Ranchi,4000,2,21,231,economy,medium,False,moderate,1,normal,moderate,44,moderate,14,strip,6,30,basic,gentle_slope,8342000.0,234
residential,Kolkata,3500,4,33,194,economy,low,False,high,13,rocky,deep,29,easy,12,strip,5,15,basic,flat,8992000.0,182
residential,Amritsar,7100,2,32,243,standard,medium,False,moderate,10,normal,shallow,7,moderate,9,pile,10,49,premium,flat,36097000.0,249
commercial,Jaipur,5900,2,40,145,standard,medium,False,high,6,rocky,high,40,difficult,16,strip,9,95,premium,gentle_slope,68598000.0,146
industrial,Ranchi,43900,1,183,730,standard,low,False,moderate,6,rocky,high,3,easy,18,isolated,23,1654,standard,flat,180550000.0,739
residential,Nashik,1800,1,8,60,economy,high,False,moderate,12,sandy,deep,0,moderate,10,isolated,3,8,basic,hilly,4806000.0,67
commercial,Visakhapatnam,27600,8,323,730,economy,medium,True,high,7,clay,shallow,2,easy,12,raft,35,347,basic,hilly,245612000.0,742
residential,Tirupati,6300,1,48,212,economy,high,False,moderate,11,normal,moderate,36,moderate,10,isolated,9,39,standard,flat,18428000.0,205
residential,Nagpur,6500,3,35,381,economy,low,True,moderate,8,rocky,shallow,13,moderate,10,isolated,10,25,basic,hilly,25763000.0,406
commercial,Gurgaon,46600,1,212,730,economy,medium,True,high,9,normal,moderate,0,moderate,11,strip,50,931,standard,hilly,259611000.0,761
residential,Salem,7500,3,67,436,standard,medium,True,high,15,normal,moderate,0,moderate,12,strip,14,59,premium,steep_slope,45716000.0,466
residential,Guntur,3500,4,39,221,premium,low,False,moderate,6,sandy,high,0,moderate,10.5,raft,6,25,luxury,gentle_slope,47093000.0,215
infrastructure,Thane,14500,1,114,455,standard,low,False,high,1,normal,shallow,6,moderate,10.5,strip,9,35,basic,steep_slope,84863000.0,452
industrial,Tirupati,54400,1,247,730,standard,low,False,moderate,11,normal,shallow,41,difficult,18,strip,28,2690,standard,steep_slope,273829000.0,727
industrial,Bareilly,68200,2,328,730,standard,medium,False,moderate,9,sandy,moderate,47,moderate,12,pile,36,2644,standard,flat,273053000.0,744
infrastructure,Kochi,11000,2,82,530,standard,high,False,high,9,normal,moderate,21,difficult,10.5,strip,6,56,standard,steep_slope,112595000.0,541
industrial,Navi Mumbai,20400,1,89,343,standard,low,False,high,10,normal,deep,38,easy,18,isolated,9,667,standard,flat,74096000.0,338
infrastructure,Srinagar,23700,1,115,656,standard,medium,False,high,12,sandy,moderate,45,moderate,11,isolated,16,72,standard,gentle_slope,170709000.0,644
industrial,Varanasi,37400,1,82,730,premium,medium,False,high,11,normal,deep,31,moderate,14,isolated,20,1843,premium,hilly,266700000.0,753
residential,Indore,6200,2,48,377,economy,medium,False,moderate,7,sandy,deep,8,moderate,11,isolated,11,43,basic,flat,14880000.0,362
industrial,Thanjavur,71700,3,434,730,premium,low,False,moderate,1,rocky,moderate,8,difficult,18,strip,36,1688,luxury,hilly,1384701000.0,758
residential,Udaipur,5500,4,47,390,standard,medium,False,high,17,marshy,high,0,moderate,9,raft,11,25,standard,flat,30738000.0,386
residential,Srinagar,6600,2,52,387,standard,low,False,high,11,normal,deep,20,easy,11,isolated,13,35,standard,flat,24817000.0,372
residential,Tirupati,2800,2,23,171,economy,medium,False,moderate,8,normal,shallow,49,easy,11,raft,4,11,standard,gentle_slope,6935000.0,190
industrial,Ranchi,47200,1,120,730,standard,low,False,low,9,normal,deep,9,easy,16,raft,24,1303,premium,gentle_slope,187691000.0,730
infrastructure,Goa,19500,1,147,730,standard,medium,True,high,2,clay,moderate,30,moderate,10,pile,12,110,basic,hilly,235318000.0,757
residential,Vijayawada,5000,4,34,323,standard,low,False,moderate,4,sandy,deep,12,easy,10,isolated,8,38,standard,flat,18362000.0,328
infrastructure,Jodhpur,13600,1,83,606,standard,low,False,moderate,12,clay,shallow,62,moderate,11,raft,10,74,standard,gentle_slope,87802000.0,593
commercial,Mysore,14600,7,102,730,standard,low,False,low,9,marshy,deep,18,easy,14,pile,20,184,basic,flat,136732000.0,723
residential,Jabalpur,2800,1,20,91,premium,medium,False,moderate,6,normal,moderate,7,moderate,10,raft,3,11,premium,flat,15453000.0,85
residential,Vadodara,6400,4,46,451,economy,medium,False,moderate,5,normal,moderate,0,easy,10,raft,9,44,standard,hilly,31803000.0,459
commercial,Kanpur,28100,7,290,730,economy,high,False,moderate,3,sandy,moderate,9,easy,14,pile,35,346,basic,steep_slope,217651000.0,743
industrial,Warangal,14700,2,36,265,standard,medium,False,moderate,11,sandy,shallow,18,easy,18,strip,8,462,standard,flat,52366000.0,281
infrastructure,Vijayawada,20300,1,114,661,standard,low,False,moderate,2,normal,moderate,19,easy,10,isolated,14,89,premium,flat,98470000.0,661
industrial,Hyderabad,51700,2,247,730,economy,low,False,moderate,10,sandy,deep,46,moderate,12,raft,25,818,standard,flat,163313000.0,729
commercial,Goa,43900,7,302,730,standard,low,True,high,8,normal,deep,0,moderate,14,raft,50,639,premium,flat,423971000.0,736
infrastructure,Thrissur,16400,2,126,644,standard,medium,False,high,11,normal,high,9,moderate,11,strip,10,78,standard,flat,88117000.0,636
residential,Thrissur,4800,2,33,287,standard,medium,False,high,11,normal,deep,29,moderate,18,strip,7,36,standard,flat,18262000.0,273
residential,Pune,7000,3,54,430,economy,high,False,moderate,12,marshy,moderate,6,difficult,10.5,strip,11,23,standard,gentle_slope,39308000.0,438
residential,Gurgaon,6500,2,58,322,economy,medium,False,high,2,normal,shallow,55,moderate,14,strip,9,42,standard,flat,27191000.0,342
residential,Bangalore,7000,1,36,283,standard,medium,False,low,7,normal,moderate,12,easy,10,isolated,10,33,premium,flat,35769000.0,285
residential,Ludhiana,3400,3,33,146,premium,medium,False,moderate,10,sandy,shallow,14,moderate,10.5,isolated,7,26,premium,steep_slope,34043000.0,159
residential,Faridabad,6000,3,46,267,economy,medium,False,high,10,clay,shallow,4,moderate,11,raft,10,36,standard,gentle_slope,22681000.0,276
residential,Meerut,6200,1,40,270,premium,low,True,low,12,normal,shallow,14,difficult,10,isolated,9,34,luxury,flat,43605000.0,280
residential,Dehradun,5600,3,54,281,premium,low,False,high,12,sandy,shallow,8,moderate,11,strip,10,27,luxury,flat,49251000.0,266
residential,Delhi,3400,2,18,166,standard,low,False,high,7,sandy,high,28,difficult,11,strip,7,21,standard,steep_slope,18495000.0,184
commercial,Hyderabad,30200,5,256,730,standard,low,False,moderate,7,normal,deep,21,difficult,12,strip,38,581,basic,flat,176778000.0,723
commercial,Pune,7900,5,64,449,economy,high,False,moderate,9,sandy,deep,0,easy,12,strip,11,123,standard,flat,43603000.0,462
commercial,Madurai,16900,1,55,408,standard,low,False,moderate,9,sandy,moderate,3,moderate,11,isolated,21,307,basic,flat,50470000.0,415
residential,Aligarh,4600,2,26,273,premium,medium,False,moderate,5,normal,moderate,0,easy,10.5,strip,6,23,premium,flat,24554000.0,279
residential,Gurgaon,4100,4,29,195,economy,high,False,high,7,clay,deep,0,easy,10.5,pile,5,16,standard,gentle_slope,28929000.0,198
infrastructure,Coimbatore,17500,1,71,675,standard,high,False,low,6,normal,deep,16,easy,12,strip,10,56,standard,flat,106612000.0,681
commercial,Thane,12700,7,74,688,economy,medium,False,high,11,sandy,moderate,14,easy,16,raft,14,248,standard,gentle_slope,126956000.0,697
infrastructure,Thanjavur,19100,2,93,660,premium,low,False,moderate,10,rocky,deep,34,difficult,10,isolated,11,71,luxury,flat,214071000.0,660
residential,Gandhinagar,3300,3,26,192,standard,high,False,moderate,6,normal,deep,0,easy,10,isolated,7,18,standard,steep_slope,17409000.0,195
residential,Ranchi,5400,3,40,328,standard,medium,False,moderate,12,rocky,shallow,36,easy,10,raft,8,25,basic,flat,18524000.0,327
residential,Navi Mumbai,7600,4,50,369,standard,low,False,low,6,clay,deep,36,moderate,10.5,pile,11,39,standard,flat,56834000.0,380
residential,Bareilly,1100,4,10,81,economy,medium,True,moderate,12,marshy,moderate,9,moderate,10.5,raft,3,6,basic,flat,4067000.0,101
commercial,Thrissur,18200,2,110,730,economy,low,False,high,12,clay,shallow,5,easy,11,strip,24,347,basic,flat,42612000.0,719
industrial,Guntur,8200,3,49,207,premium,high,False,moderate,10,rocky,moderate,49,easy,18,raft,6,177,premium,steep_slope,122129000.0,226
residential,Surat,7800,3,63,515,premium,low,False,high,1,marshy,shallow,2,easy,10.5,raft,12,28,premium,gentle_slope,113180000.0,539
commercial,Pondicherry,17900,1,82,665,standard,medium,False,high,9,sandy,shallow,0,easy,14,strip,24,293,standard,flat,75611000.0,664
residential,Ahmedabad,5700,2,28,202,economy,low,False,moderate,4,normal,moderate,0,easy,11,isolated,9,29,basic,flat,11106000.0,201
industrial,Trichy,23600,1,114,361,standard,medium,False,high,1,clay,deep,27,moderate,20,raft,13,763,premium,flat,111653000.0,378
residential,Guntur,7000,1,46,360,premium,high,False,moderate,3,marshy,moderate,35,moderate,10.5,pile,11,54,premium,hilly,91020000.0,358
residential,Bangalore,4700,2,34,198,standard,medium,False,low,10,normal,deep,8,moderate,10,raft,7,19,standard,steep_slope,23462000.0,198
residential,Noida,2700,2,12,122,economy,medium,False,high,10,normal,deep,0,moderate,10,pile,5,14,standard,gentle_slope,10005000.0,113
residential,Kolkata,6100,1,39,294,standard,low,False,high,1,rocky,deep,0,moderate,12,strip,12,27,standard,gentle_slope,28421000.0,296
residential,Tirupati,5500,2,39,204,standard,medium,False,moderate,8,normal,deep,0,easy,9,isolated,9,32,standard,gentle_slope,19628000.0,201
infrastructure,Gandhinagar,20200,1,108,730,premium,medium,False,moderate,4,normal,shallow,46,easy,14,raft,15,91,luxury,flat,325464000.0,725
industrial,Trichy,73800,3,409,730,economy,medium,False,moderate,7,normal,high,34,difficult,16,isolated,37,1363,basic,flat,208930000.0,726
residential,Chennai,4300,4,42,297,standard,medium,False,high,7,rocky,moderate,24,moderate,14,raft,6,33,premium,gentle_slope,35447000.0,308
residential,Faridabad,4700,2,25,272,premium,low,False,high,7,marshy,high,0,moderate,9,raft,7,30,standard,gentle_slope,45815000.0,278
residential,Mangalore,3200,4,21,233,economy,high,False,high,8,sandy,deep,36,moderate,10,raft,7,19,standard,gentle_slope,17042000.0,231
infrastructure,Madurai,22000,2,181,659,standard,low,False,moderate,14,sandy,high,18,moderate,10.5,strip,14,75,standard,flat,129207000.0,644
residential,Raipur,4100,2,27,218,standard,high,False,moderate,9,sandy,deep,8,moderate,10.5,raft,5,27,premium,flat,21502000.0,222
commercial,Ranchi,27400,2,116,730,standard,high,False,moderate,11,sandy,moderate,11,easy,16,isolated,34,287,premium,gentle_slope,191131000.0,737
commercial,Patna,8300,2,32,324,standard,medium,False,high,3,normal,moderate,38,difficult,12,isolated,12,80,premium,flat,45522000.0,342
residential,Kanpur,1900,2,9,67,premium,medium,False,moderate,12,marshy,deep,16,easy,11,pile,4,6,luxury,gentle_slope,20294000.0,80
residential,Gandhinagar,3100,4,18,210,standard,high,False,moderate,10,normal,deep,0,moderate,10,raft,4,11,premium,flat,23613000.0,203
residential,Dehradun,4800,3,28,306,standard,high,False,high,12,clay,shallow,0,easy,10.5,pile,8,23,standard,flat,33919000.0,305
infrastructure,Salem,17500,1,119,499,premium,medium,True,low,3,clay,deep,0,moderate,10,pile,10,56,luxury,flat,333210000.0,514
residential,Nagpur,3100,2,25,104,standard,low,False,moderate,11,normal,moderate,44,moderate,10.5,strip,7,10,premium,flat,12974000.0,96
residential,Shimla,2700,2,20,109,economy,low,False,high,9,rocky,moderate,29,moderate,11,isolated,4,8,standard,steep_slope,9839000.0,118
residential,Mysore,5400,4,42,384,standard,medium,False,low,7,normal,moderate,23,moderate,14,isolated,10,24,standard,flat,21437000.0,380
infrastructure,Noida,15100,1,118,662,standard,high,False,high,15,normal,high,0,moderate,10,isolated,9,88,standard,gentle_slope,119328000.0,660
commercial,Salem,9300,7,70,409,standard,high,True,low,11,sandy,high,7,easy,11,pile,10,99,standard,gentle_slope,112916000.0,415
industrial,Aligarh,58000,1,195,730,premium,medium,False,moderate,4,marshy,moderate,6,moderate,14,pile,31,1889,luxury,gentle_slope,736490000.0,727
commercial,Hyderabad,42300,6,225,730,economy,medium,False,moderate,4,normal,moderate,0,easy,10,raft,50,608,basic,flat,191775000.0,741
residential,Agra,6000,1,41,243,standard,low,False,high,16,normal,high,36,moderate,11,raft,12,46,premium,gentle_slope,34134000.0,228
residential,Hubli,7300,3,40,336,standard,medium,False,low,11,sandy,shallow,17,easy,11,strip,14,39,standard,flat,26005000.0,337
residential,Varanasi,5600,2,25,340,standard,medium,False,moderate,1,sandy,moderate,42,moderate,14,isolated,8,19,standard,hilly,29096000.0,343
infrastructure,Thanjavur,7100,1,41,201,standard,medium,False,moderate,4,marshy,moderate,11,moderate,16,pile,3,31,basic,gentle_slope,55777000.0,196
infrastructure,Surat,17500,1,110,598,standard,medium,False,high,8,sandy,moderate,16,easy,10,isolated,10,91,premium,steep_slope,157346000.0,608
infrastructure,Chennai,3300,2,26,99,standard,high,False,moderate,5,clay,shallow,0,easy,12,pile,3,12,standard,steep_slope,43351000.0,87
residential,Jamshedpur,5400,3,49,221,standard,medium,False,moderate,6,sandy,high,4,easy,10,raft,10,20,basic,flat,22121000.0,215
commercial,Tirupati,25400,4,189,730,premium,low,True,moderate,11,normal,moderate,37,moderate,10,raft,31,429,premium,flat,314111000.0,721
infrastructure,Raipur,4100,1,28,141,standard,low,False,moderate,8,normal,high,29,easy,12,isolated,4,10,basic,flat,16642000.0,143
commercial,Visakhapatnam,45300,5,339,730,standard,medium,False,high,8,rocky,high,31,difficult,11,strip,50,631,standard,gentle_slope,419919000.0,737
residential,Surat,4700,4,52,325,standard,low,False,high,8,normal,deep,30,difficult,12,strip,8,24,standard,flat,22315000.0,323
commercial,Rajkot,21000,2,124,691,standard,medium,True,moderate,5,marshy,deep,35,moderate,16,pile,27,416,standard,flat,173843000.0,718
commercial,Jodhpur,48800,6,481,730,standard,low,False,moderate,11,rocky,moderate,2,easy,14,raft,50,472,standard,flat,438669000.0,729
residential,Kochi,2400,1,18,131,standard,medium,False,high,9,normal,deep,0,easy,10.5,isolated,6,17,standard,steep_slope,9296000.0,127
commercial,Nashik,4700,1,26,181,standard,low,False,moderate,7,sandy,deep,21,easy,11,raft,6,39,premium,hilly,27587000.0,174
commercial,Navi Mumbai,42600,6,243,730,economy,low,False,high,5,rocky,moderate,21,difficult,11,pile,50,522,standard,steep_slope,502874000.0,773
commercial,Ludhiana,14400,3,61,414,standard,high,False,moderate,11,rocky,deep,52,remote,11,isolated,17,172,premium,flat,181830000.0,422
residential,Salem,5200,3,46,329,premium,medium,False,low,7,normal,deep,0,easy,16,isolated,7,34,luxury,flat,48155000.0,325
residential,Kolkata,7300,2,59,277,standard,high,False,high,8,normal,moderate,19,easy,10,strip,14,38,standard,gentle_slope,34407000.0,297
commercial,Indore,10900,5,102,349,economy,high,True,moderate,6,clay,moderate,35,moderate,16,raft,13,188,basic,gentle_slope,94551000.0,357
commercial,Warangal,29300,5,206,730,premium,medium,True,moderate,16,marshy,deep,7,easy,11,strip,35,255,premium,flat,450287000.0,743
residential,Navi Mumbai,5700,4,56,319,standard,medium,False,high,7,normal,high,24,difficult,10,isolated,8,27,premium,flat,46238000.0,321
infrastructure,Hubli,11000,2,100,328,economy,low,False,low,1,normal,shallow,33,moderate,10.5,strip,8,26,standard,gentle_slope,51264000.0,339
residential,Thiruvananthapuram,4400,4,44,289,standard,low,False,high,11,rocky,high,19,easy,10,strip,8,15,premium,steep_slope,37494000.0,280
industrial,Thanjavur,34800,2,127,730,premium,medium,False,moderate,9,sandy,shallow,10,easy,16,isolated,19,1613,luxury,hilly,376045000.0,741
commercial,Thiruvananthapuram,22300,2,118,730,economy,medium,False,high,6,normal,moderate,17,moderate,11,isolated,27,217,basic,hilly,92302000.0,730
residential,Guwahati,2700,3,26,182,standard,medium,False,high,10,normal,moderate,12,easy,18,raft,6,15,basic,steep_slope,11358000.0,189
industrial,Jaipur,79700,2,301,730,standard,low,False,high,13,normal,moderate,19,moderate,16,isolated,39,2785,premium,hilly,449796000.0,743
residential,Mysore,3500,1,19,140,economy,high,False,low,1,sandy,deep,0,easy,9,isolated,7,25,basic,flat,8007000.0,158
commercial,Mumbai,40200,6,248,730,standard,medium,False,high,10,normal,high,40,difficult,12,strip,50,566,premium,flat,648306000.0,730
commercial,Gandhinagar,7300,6,45,328,standard,high,False,moderate,8,normal,high,51,remote,16,pile,8,132,basic,gentle_slope,139052000.0,351
residential,Ahmedabad,3300,2,28,145,standard,low,False,moderate,8,normal,moderate,16,moderate,11,isolated,5,18,standard,flat,10527000.0,148
commercial,Kanpur,27400,7,195,730,premium,high,True,moderate,3,sandy,shallow,0,difficult,16,pile,35,353,standard,steep_slope,756302000.0,745
commercial,Shimla,10100,2,51,254,standard,medium,False,high,12,marshy,moderate,7,easy,14,raft,11,110,standard,flat,74617000.0,243
residential,Jaipur,6700,4,58,399,economy,medium,True,high,10,normal,high,21,easy,11,strip,10,40,basic,hilly,28861000.0,398
commercial,Shimla,18600,8,168,730,standard,medium,False,high,13,rocky,high,11,easy,14,strip,25,371,premium,flat,307235000.0,734
residential,Jamshedpur,4100,3,32,209,premium,medium,False,moderate,4,marshy,high,29,difficult,10.5,raft,7,23,premium,flat,48596000.0,239
infrastructure,Gurgaon,12900,1,62,539,standard,low,False,low,8,normal,high,25,moderate,12,isolated,8,40,basic,gentle_slope,74515000.0,548
commercial,Nagpur,34000,7,351,730,premium,low,False,moderate,14,sandy,deep,18,moderate,16,pile,43,675,luxury,flat,663885000.0,742
residential,Dehradun,2200,1,12,68,premium,high,False,moderate,6,sandy,shallow,35,moderate,9,strip,3,16,luxury,steep_slope,29297000.0,83
residential,Meerut,3400,1,14,133,premium,low,True,moderate,8,normal,shallow,6,moderate,14,isolated,4,22,premium,steep_slope,20213000.0,150
residential,Chandigarh,7500,2,43,393,standard,medium,False,moderate,5,clay,deep,7,easy,9,raft,12,32,premium,gentle_slope,40900000.0,386
residential,Pondicherry,6400,3,44,383,standard,medium,False,high,9,sandy,shallow,17,easy,12,raft,9,50,standard,flat,34303000.0,381
